"","id","time","orden","palabra","genero","edad","formacion","partido","interes"
"1",1,2023-06-14 10:20:32,1,"chorra","Masculino",17,"secundario en curso","liberalismo","no"
"2",1,2023-06-14 10:20:32,2,"estafadora","Masculino",17,"secundario en curso","liberalismo","no"
"3",1,2023-06-14 10:20:32,3,"malapersona","Masculino",17,"secundario en curso","liberalismo","no"
"4",1,2023-06-14 10:20:32,4,"egoista","Masculino",17,"secundario en curso","liberalismo","no"
"5",1,2023-06-14 10:20:32,5,"politica","Masculino",17,"secundario en curso","liberalismo","no"
"6",2,2023-06-14 10:20:32,1,"politica","Masculino",17,"secundario en curso","otros","no"
"7",2,2023-06-14 10:20:32,2,"politica","Masculino",17,"secundario en curso","otros","no"
"8",2,2023-06-14 10:20:32,3,"politica","Masculino",17,"secundario en curso","otros","no"
"9",2,2023-06-14 10:20:32,4,"politica","Masculino",17,"secundario en curso","otros","no"
"10",2,2023-06-14 10:20:32,5,"politica","Masculino",17,"secundario en curso","otros","no"
"11",3,2023-06-14 10:24:58,1,"ladrona","Masculino",17,"secundario en curso","derecha","si"
"12",3,2023-06-14 10:24:58,2,"mentirosa","Masculino",17,"secundario en curso","derecha","si"
"13",3,2023-06-14 10:24:58,3,"delincunte","Masculino",17,"secundario en curso","derecha","si"
"14",3,2023-06-14 10:24:58,4,"mafiosa","Masculino",17,"secundario en curso","derecha","si"
"15",3,2023-06-14 10:24:58,5,"trastornada","Masculino",17,"secundario en curso","derecha","si"
"16",4,2023-06-14 10:28:29,1,"cristinafernandezdekirchner","Femenino",16,"secundario en curso","liberalismo","si"
"17",4,2023-06-14 10:28:29,2,"ladrona","Femenino",16,"secundario en curso","liberalismo","si"
"18",4,2023-06-14 10:28:29,3,"mentirosa","Femenino",16,"secundario en curso","liberalismo","si"
"19",4,2023-06-14 10:28:29,4,"incoherencia","Femenino",16,"secundario en curso","liberalismo","si"
"20",4,2023-06-14 10:28:29,5,"ungobiernodemierda","Femenino",16,"secundario en curso","liberalismo","si"
"21",5,2023-06-14 10:29:44,1,"corrupcion","Masculino",18,"secundario en curso","liberalismo","si"
"22",5,2023-06-14 10:29:44,2,"ladrona","Masculino",18,"secundario en curso","liberalismo","si"
"23",5,2023-06-14 10:29:44,3,"nestor","Masculino",18,"secundario en curso","liberalismo","si"
"24",5,2023-06-14 10:29:44,4,"pobreza","Masculino",18,"secundario en curso","liberalismo","si"
"25",5,2023-06-14 10:29:44,5,"empoderada","Masculino",18,"secundario en curso","liberalismo","si"
"26",6,2023-06-14 10:47:09,1,"cristina","Femenino",17,"secundario en curso","otros","no"
"27",6,2023-06-14 10:47:09,2,".","Femenino",17,"secundario en curso","otros","no"
"28",6,2023-06-14 10:47:09,3,".","Femenino",17,"secundario en curso","otros","no"
"29",6,2023-06-14 10:47:09,4,".","Femenino",17,"secundario en curso","otros","no"
"30",6,2023-06-14 10:47:09,5,".","Femenino",17,"secundario en curso","otros","no"
"31",7,2023-06-14 11:12:03,1,"chorra","Masculino",50,"universitario/terciario completo","otros","no"
"32",7,2023-06-14 11:12:03,2,"cinica","Masculino",50,"universitario/terciario completo","otros","no"
"33",7,2023-06-14 11:12:03,3,"asesina","Masculino",50,"universitario/terciario completo","otros","no"
"34",7,2023-06-14 11:12:03,4,"mentirosa","Masculino",50,"universitario/terciario completo","otros","no"
"35",7,2023-06-14 11:12:03,5,"egocentrica","Masculino",50,"universitario/terciario completo","otros","no"
"36",8,2023-06-14 11:13:07,1,"lider","Masculino",17,"secundario en curso","liberalismo","si"
"37",8,2023-06-14 11:13:07,2,"polemica","Masculino",17,"secundario en curso","liberalismo","si"
"38",8,2023-06-14 11:13:07,3,"popular","Masculino",17,"secundario en curso","liberalismo","si"
"39",8,2023-06-14 11:13:07,4,"controversial","Masculino",17,"secundario en curso","liberalismo","si"
"40",8,2023-06-14 11:13:07,5,"historica","Masculino",17,"secundario en curso","liberalismo","si"
"41",9,2023-06-14 11:29:26,1,"corrupcion","Masculino",18,"universitario/terciario en curso","liberalismo","si"
"42",9,2023-06-14 11:29:26,2,"impunidad","Masculino",18,"universitario/terciario en curso","liberalismo","si"
"43",9,2023-06-14 11:29:26,3,"robo","Masculino",18,"universitario/terciario en curso","liberalismo","si"
"44",9,2023-06-14 11:29:26,4,"lavadodedinero","Masculino",18,"universitario/terciario en curso","liberalismo","si"
"45",9,2023-06-14 11:29:26,5,"chorra","Masculino",18,"universitario/terciario en curso","liberalismo","si"
"46",10,2023-06-14 11:40:04,1,"vicepresidenta","Femenino",47,"universitario/terciario completo","otros","si"
"47",10,2023-06-14 11:40:04,2,"abogada","Femenino",47,"universitario/terciario completo","otros","si"
"48",10,2023-06-14 11:40:04,3,"dominante","Femenino",47,"universitario/terciario completo","otros","si"
"49",10,2023-06-14 11:40:04,4,"corrupta","Femenino",47,"universitario/terciario completo","otros","si"
"50",10,2023-06-14 11:40:04,5,"manipuladora","Femenino",47,"universitario/terciario completo","otros","si"
"51",11,2023-06-14 11:42:15,1,"chorra","Femenino",17,"secundario en curso","otros","no"
"52",11,2023-06-14 11:42:15,2,"pobreza","Femenino",17,"secundario en curso","otros","no"
"53",11,2023-06-14 11:42:15,3,"corrupcion","Femenino",17,"secundario en curso","otros","no"
"54",11,2023-06-14 11:42:15,4,"abusodepoder","Femenino",17,"secundario en curso","otros","no"
"55",11,2023-06-14 11:42:15,5,"planessociale","Femenino",17,"secundario en curso","otros","no"
"56",12,2023-06-14 11:42:59,1,"ladrona","Masculino",17,"secundario en curso","liberalismo","si"
"57",12,2023-06-14 11:42:59,2,"condenada","Masculino",17,"secundario en curso","liberalismo","si"
"58",12,2023-06-14 11:42:59,3,"estafadora","Masculino",17,"secundario en curso","liberalismo","si"
"59",12,2023-06-14 11:42:59,4,"corrupta","Masculino",17,"secundario en curso","liberalismo","si"
"60",12,2023-06-14 11:42:59,5,"sanguinaria","Masculino",17,"secundario en curso","liberalismo","si"
"61",13,2023-06-14 11:44:26,1,"ladrona","Femenino",17,"secundario en curso","otros","no"
"62",13,2023-06-14 11:44:26,2,"feminista","Femenino",17,"secundario en curso","otros","no"
"63",13,2023-06-14 11:44:26,3,"corrupta","Femenino",17,"secundario en curso","otros","no"
"64",13,2023-06-14 11:44:26,4,"pueblo","Femenino",17,"secundario en curso","otros","no"
