"","id","time","orden","palabra","edad","religion"
"1",1,2023-06-14 15:11:59,1,"muerte",17,"agnostica"
"2",1,2023-06-14 15:11:59,2,"libre",17,"agnostica"
"3",1,2023-06-14 15:11:59,3,"consentimiento",17,"agnostica"
"4",1,2023-06-14 15:11:59,4,"controversial",17,"agnostica"
"5",1,2023-06-14 15:11:59,5,"inyeccion",17,"agnostica"
"6",2,2023-06-20 21:54:49,1,"suicidio",17,"cristiana"
"7",2,2023-06-20 21:54:49,2,"muerte",17,"cristiana"
"8",2,2023-06-20 21:54:49,3,"viejo",17,"cristiana"
"9",2,2023-06-20 21:54:49,4,"desconexion",17,"cristiana"
"10",2,2023-06-20 21:54:49,5,"jeringa",17,"cristiana"
"11",3,2023-06-20 21:57:03,1,"muerte",17,"agnostico"
"12",3,2023-06-20 21:57:03,2,"penademuerte",17,"agnostico"
"13",3,2023-06-20 21:57:03,3,"medicina",17,"agnostico"
"14",3,2023-06-20 21:57:03,4,"vida",17,"agnostico"
"15",3,2023-06-20 21:57:03,5,NA,17,"agnostico"
"16",4,2023-06-20 21:58:34,1,"libertad",18,"atea"
"17",4,2023-06-20 21:58:34,2,"muerte",18,"atea"
"18",4,2023-06-20 21:58:34,3,"pastilla",18,"atea"
"19",4,2023-06-20 21:58:34,4,"vejez",18,"atea"
"20",4,2023-06-20 21:58:34,5,"enfermedad",18,"atea"
"21",5,2023-06-20 21:59:42,1,"remedio",17,"atea"
"22",5,2023-06-20 21:59:42,2,"muerte",17,"atea"
"23",5,2023-06-20 21:59:42,3,"sacrificio",17,"atea"
"24",5,2023-06-20 21:59:42,4,"contraproducente",17,"atea"
"25",5,2023-06-20 21:59:42,5,"inestabilidad",17,"atea"
"26",6,2023-06-20 21:59:48,1,"decision",15,"agnostico"
"27",6,2023-06-20 21:59:48,2,"muerte",15,"agnostico"
"28",6,2023-06-20 21:59:48,3,"sanar",15,"agnostico"
"29",6,2023-06-20 21:59:48,4,"unactodeamor",15,"agnostico"
"30",6,2023-06-20 21:59:48,5,"trascender",15,"agnostico"
"31",7,2023-06-20 22:00:46,1,"proceso",17,"cristiana"
"32",7,2023-06-20 22:00:46,2,"consulta",17,"cristiana"
"33",7,2023-06-20 22:00:46,3,"medico",17,"cristiana"
"34",7,2023-06-20 22:00:46,4,"encontra",17,"cristiana"
"35",7,2023-06-20 22:00:46,5,"caminofacil",17,"cristiana"
"36",8,2023-06-20 22:01:25,1,"decision",17,"angostica"
"37",8,2023-06-20 22:01:25,2,"muerte",17,"angostica"
"38",8,2023-06-20 22:01:25,3,"liberacion",17,"angostica"
"39",8,2023-06-20 22:01:25,4,"ayuda",17,"angostica"
"40",8,2023-06-20 22:01:25,5,"medicina",17,"angostica"
"41",9,2023-06-20 22:01:32,1,"muerte",16,"atea"
"42",9,2023-06-20 22:01:32,2,"digno",16,"atea"
"43",9,2023-06-20 22:01:32,3,"humano",16,"atea"
"44",9,2023-06-20 22:01:32,4,"libertad",16,"atea"
"45",9,2023-06-20 22:01:32,5,"inyeccion",16,"atea"
"46",10,2023-06-20 22:01:33,1,"muerte",16,"ateo"
"47",10,2023-06-20 22:01:33,2,"vida",16,"ateo"
"48",10,2023-06-20 22:01:33,3,"proceso",16,"ateo"
"49",10,2023-06-20 22:01:33,4,"fin",16,"ateo"
"50",10,2023-06-20 22:01:33,5,"medico",16,"ateo"
"51",11,2023-06-20 22:01:49,1,"miedo",19,"catolico"
"52",11,2023-06-20 22:01:49,2,"tristeza",19,"catolico"
"53",11,2023-06-20 22:01:49,3,"menossufrimiento",19,"catolico"
"54",11,2023-06-20 22:01:49,4,"paz",19,"catolico"
"55",11,2023-06-20 22:01:49,5,"muerte",19,"catolico"
"56",12,2023-06-20 22:02:49,1,"muerte",17,"atea"
"57",12,2023-06-20 22:02:49,2,"fin",17,"atea"
"58",12,2023-06-20 22:02:49,3,"principio",17,"atea"
"59",12,2023-06-20 22:02:49,4,"calamidad",17,"atea"
"60",12,2023-06-20 22:02:49,5,"sufrimiento",17,"atea"
"61",13,2023-06-20 22:04:03,1,"dignidad",14,"catolica"
"62",13,2023-06-20 22:04:03,2,"sufrimiento",14,"catolica"
"63",13,2023-06-20 22:04:03,3,"consentimiento",14,"catolica"
"64",13,2023-06-20 22:04:03,4,"legalizacion",14,"catolica"
"65",13,2023-06-20 22:04:03,5,"decision",14,"catolica"
"66",14,2023-06-20 22:04:29,1,"nasa",8,"amen?"
"67",14,2023-06-20 22:04:29,2,"anastasia",8,"amen?"
"68",14,2023-06-20 22:04:29,3,"pluton",8,"amen?"
"69",14,2023-06-20 22:04:29,4,"anestesia",8,"amen?"
"70",14,2023-06-20 22:04:29,5,"uva",8,"amen?"
"71",15,2023-06-20 22:05:08,1,"muerte",17,"ateo"
"72",15,2023-06-20 22:05:08,2,"ayuda",17,"ateo"
"73",15,2023-06-20 22:05:08,3,"salvacion",17,"ateo"
"74",15,2023-06-20 22:05:08,4,"dejardesufrir",17,"ateo"
"75",15,2023-06-20 22:05:08,5,"decision",17,"ateo"
"76",16,2023-06-20 22:05:31,1,"muerte",16,"catolica"
"77",16,2023-06-20 22:05:31,2,"libertad",16,"catolica"
"78",16,2023-06-20 22:05:31,3,"tranquilidad",16,"catolica"
"79",16,2023-06-20 22:05:31,4,"salida",16,"catolica"
"80",16,2023-06-20 22:05:31,5,"final",16,"catolica"
"81",17,2023-06-20 22:05:33,1,"equivocacion",16,"judia"
"82",17,2023-06-20 22:05:33,2,"muerte",16,"judia"
"83",17,2023-06-20 22:05:33,3,"salvacion",16,"judia"
"84",17,2023-06-20 22:05:33,4,"deuda",16,"judia"
"85",17,2023-06-20 22:05:33,5,"humanidad",16,"judia"
"86",18,2023-06-20 22:07:19,1,"negacion",23,"evangelica"
"87",18,2023-06-20 22:07:19,2,"sufrimiento",23,"evangelica"
"88",18,2023-06-20 22:07:19,3,"muerte",23,"evangelica"
"89",18,2023-06-20 22:07:19,4,"decadencia",23,"evangelica"
"90",18,2023-06-20 22:07:19,5,"irresponsabilidad",23,"evangelica"
"91",19,2023-06-20 22:08:19,1,"muerte",15,"agonistica"
"92",19,2023-06-20 22:08:19,2,"final",15,"agonistica"
"93",19,2023-06-20 22:08:19,3,"consentimiento",15,"agonistica"
"94",19,2023-06-20 22:08:19,4,"decision",15,"agonistica"
"95",19,2023-06-20 22:08:19,5,"eleccion",15,"agonistica"
"96",20,2023-06-20 22:11:26,1,"fin",20,"evangelismo"
"97",20,2023-06-20 22:11:26,2,"muerte",20,"evangelismo"
"98",20,2023-06-20 22:11:26,3,"terminar",20,"evangelismo"
"99",20,2023-06-20 22:11:26,4,"icurable",20,"evangelismo"
"100",20,2023-06-20 22:11:26,5,"dolor",20,"evangelismo"
"101",21,2023-06-20 22:14:07,1,"muerte",16,"ninguna"
"102",21,2023-06-20 22:14:07,2,"descansar",16,"ninguna"
"103",21,2023-06-20 22:14:07,3,"paz",16,"ninguna"
"104",21,2023-06-20 22:14:07,4,"decision",16,"ninguna"
"105",21,2023-06-20 22:14:07,5,"conciencia",16,"ninguna"
"106",22,2023-06-20 22:14:23,1,"muerte",17,"agnostico"
"107",22,2023-06-20 22:14:23,2,"descanso",17,"agnostico"
"108",22,2023-06-20 22:14:23,3,"indoloro",17,"agnostico"
"109",22,2023-06-20 22:14:23,4,"fallecimiento",17,"agnostico"
"110",22,2023-06-20 22:14:23,5,"necesarioenocasione",17,"agnostico"
"111",23,2023-06-20 22:18:41,1,"falopa",17,"espiritual"
"112",23,2023-06-20 22:18:41,2,"fantasia",17,"espiritual"
"113",23,2023-06-20 22:18:41,3,"euforia",17,"espiritual"
"114",23,2023-06-20 22:18:41,4,"portugue",17,"espiritual"
"115",23,2023-06-20 22:18:41,5,"extasi",17,"espiritual"
"116",24,2023-06-20 22:21:08,1,"muerte",21,"catolico"
"117",24,2023-06-20 22:21:08,2,"decision",21,"catolico"
"118",24,2023-06-20 22:21:08,3,"despedida",21,"catolico"
"119",24,2023-06-20 22:21:08,4,"paz",21,"catolico"
"120",24,2023-06-20 22:21:08,5,"polemico",21,"catolico"
"121",25,2023-06-20 22:21:30,1,"muerte",15,"agnostica"
"122",25,2023-06-20 22:21:30,2,"vacuna",15,"agnostica"
"123",25,2023-06-20 22:21:30,3,"persona",15,"agnostica"
"124",25,2023-06-20 22:21:30,4,"inyeccion",15,"agnostica"
"125",25,2023-06-20 22:21:30,5,"sangre",15,"agnostica"
"126",26,2023-06-20 22:24:26,1,"muertedigna",20,"agnostica"
"127",26,2023-06-20 22:24:26,2,"pazalospacientesterminale",20,"agnostica"
"128",26,2023-06-20 22:24:26,3,"algoquedeberiaserlegal",20,"agnostica"
"129",26,2023-06-20 22:24:26,4,"muertesindolor",20,"agnostica"
"130",26,2023-06-20 22:24:26,5,"terminarelsufrimiento",20,"agnostica"
"131",27,2023-06-20 22:24:28,1,"muerte",17,"cristiana"
"132",27,2023-06-20 22:24:28,2,"medico",17,"cristiana"
"133",27,2023-06-20 22:24:28,3,"desconectar",17,"cristiana"
"134",27,2023-06-20 22:24:28,4,"hospital",17,"cristiana"
"135",27,2023-06-20 22:24:28,5,"asistencia",17,"cristiana"
"136",28,2023-06-20 22:26:16,1,"calma",17,"atea"
"137",28,2023-06-20 22:26:16,2,"paz",17,"atea"
"138",28,2023-06-20 22:26:16,3,"decision",17,"atea"
"139",28,2023-06-20 22:26:16,4,"final",17,"atea"
"140",28,2023-06-20 22:26:16,5,"muerte",17,"atea"
"141",29,2023-06-20 22:26:48,1,"muerte",19,"atea"
"142",29,2023-06-20 22:26:48,2,"inyeccion",19,"atea"
