"","id","time","orden","palabra","genero","edad","horas","usa","redes"
"1",1,2023-06-15 21:17:44,1,"entretenimiento","femenino",20,3,"Sí","Instagram, Twitter, YouTube"
"2",1,2023-06-15 21:17:44,2,"noticia","femenino",20,3,"Sí","Instagram, Twitter, YouTube"
"3",1,2023-06-15 21:17:44,3,"meme","femenino",20,3,"Sí","Instagram, Twitter, YouTube"
"4",1,2023-06-15 21:17:44,4,"comunicacion","femenino",20,3,"Sí","Instagram, Twitter, YouTube"
"5",1,2023-06-15 21:17:44,5,"escracho","femenino",20,3,"Sí","Instagram, Twitter, YouTube"
"6",2,2023-06-15 21:35:21,1,"social","masculino",18,5,"Sí","Instagram, Facebook, YouTube, Tik Tok"
"7",2,2023-06-15 21:35:21,2,"comunicacion","masculino",18,5,"Sí","Instagram, Facebook, YouTube, Tik Tok"
"8",2,2023-06-15 21:35:21,3,"tecnologia","masculino",18,5,"Sí","Instagram, Facebook, YouTube, Tik Tok"
"9",2,2023-06-15 21:35:21,4,"herramienta","masculino",18,5,"Sí","Instagram, Facebook, YouTube, Tik Tok"
"10",2,2023-06-15 21:35:21,5,"mundo","masculino",18,5,"Sí","Instagram, Facebook, YouTube, Tik Tok"
"11",3,2023-06-15 21:40:17,1,"conexion","femenino",17,1,"Sí","Instagram, Twitter, YouTube"
"12",3,2023-06-15 21:40:17,2,"esclavitud","femenino",17,1,"Sí","Instagram, Twitter, YouTube"
"13",3,2023-06-15 21:40:17,3,"abuso","femenino",17,1,"Sí","Instagram, Twitter, YouTube"
"14",3,2023-06-15 21:40:17,4,"exposicion","femenino",17,1,"Sí","Instagram, Twitter, YouTube"
"15",3,2023-06-15 21:40:17,5,"inconsciencia","femenino",17,1,"Sí","Instagram, Twitter, YouTube"
"16",4,2023-06-16 01:58:24,1,"canaldecomunion","femenino",17,8,"Sí","Instagram, Facebook, YouTube, Tik Tok"
"17",4,2023-06-16 01:58:24,2,"amistade","femenino",17,8,"Sí","Instagram, Facebook, YouTube, Tik Tok"
